tenant,jtl_database,jtl_version,marketplace_sample_group,jtl_internal_order_id,jtl_order_number,external_order_number_masked,raw_platform,raw_payment,raw_shipping,shop_store_field,marketplace_account_field,jtl_ui_channel,jtl_ui_payment,postgres_channel,postgres_payment,expected_canonical_marketplace,expected_canonical_payment,evidence_source,evidence_strength,status,reviewer,reviewed_at_utc,notes
My Company,,,Amazon,jtl-id#d00fc92d3fdc,order#8e773bd8a719,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#96d64cc4c7eb,order#1fe512c37028,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#d5d3bb3dc3c7,order#e2df52654932,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#5963f4e0de29,order#000a71b5704e,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#64ddd8753060,order#d6b06f26bd52,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#513f47d9258d,order#1d2562a4dc51,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#18a6d9ffb276,order#826ced2abd05,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#0fd9392d8483,order#876c61a7a541,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#a904c8402db3,order#ee722da62bba,999-9999999-9999999,amazon.de,Amazon Marktplatz,DPD WP,,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#44a8a7fc43d7,order#857821e91ab1,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 6,10",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#24a1ae6a223c,order#97d4d42f85eb,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#a121b7b23763,order#8417065dddd2,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#b68488bd3e43,order#00634ead013c,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#3391c6f071d4,order#4e0cde0de8f4,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#d8ea3925e832,order#c9bc2fa9f90b,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#46b1e15400d5,order#e07076dfa55e,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#16e8df6b4292,order#740148257ca4,999-9999999-9999999,amazon.de,Amazon Marktplatz,4DHL Kleinpaket,,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#e342859c9d58,order#d73dd6553a95,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 6,10",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
My Company,,,Amazon,jtl-id#4a3f252a4764,order#b0347329f7ae,999-9999999-9999999,amazon.de,Amazon Marktplatz,"DPD 1,2,3,4",,,,,amazon.de,Amazon Marktplatz,,,reporting_postgresql_read_only,candidate_only,unresolved,,,Candidate sample only; direct JTL SQL and JTL-Wawi confirmation required.
