Section,Page / Area,Feature,Type,Role Required,Notes,Status,Backend API,Frontend Route,Owner,Fix Notes
Overview,/dashboard/overview,Total Revenue KPI Card,KPI Card,Viewer,Includes YoY delta,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,Includes YoY delta
Overview,/dashboard/overview,Total Orders KPI Card,KPI Card,Viewer,Includes YoY delta,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,Includes YoY delta
Overview,/dashboard/overview,Active Products KPI Card,KPI Card,Viewer,,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,
Overview,/dashboard/overview,Total Customers KPI Card,KPI Card,Viewer,,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,
Overview,/dashboard/overview,Inventory Alerts KPI Card,KPI Card,Viewer,Low stock threshold count,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,Low stock threshold count
Overview,/dashboard/overview,Global Revenue vs Target,Composed Chart,Viewer,12-month area + target line,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,12-month area + target line
Overview,/dashboard/overview,Revenue vs Target Modal (Zoom),Modal Chart,Viewer,Click-to-expand with year/month/day drill-down,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,Click-to-expand with year/month/day drill-down
Overview,/dashboard/overview,Revenue by Category,Pie Chart,Viewer,Proportional with percentage bars,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,Proportional with percentage bars
Overview,/dashboard/overview,Top Marketing Campaigns,Table,Viewer,Platform + ROAS color-coded,Planned,Not implemented,/dashboard/overview,Frontend + Backend Analytics,Platform + ROAS color-coded; Marketing source/API not present yet.
Overview,/dashboard/overview,Inventory Stock Movements,Area Chart,Viewer,30-day incoming vs outgoing,Implemented,"/api/analytics/*, /api/sales/kpis, /api/products/*, /api/customers/*, /api/inventory/*",/dashboard/overview,Frontend + Backend Analytics,30-day incoming vs outgoing
